# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Fri Feb 16 10:31:29 2024
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total H2O CO2 O3 N2O CO CH4 O2 N2 Rayleigh CIA
3.000000000e-01 2.88303e-02 9.99999e-01 9.99999e-01 5.52165e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.22132e-01 9.99999e-01
3.003000000e-01 3.20201e-02 9.99999e-01 9.99999e-01 6.11667e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.23488e-01 9.99999e-01
3.006003000e-01 3.52846e-02 9.99999e-01 9.99999e-01 6.72290e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.24841e-01 9.99999e-01
3.009009003e-01 3.99508e-02 9.99998e-01 9.99999e-01 7.59242e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.26193e-01 9.99999e-01
3.012018012e-01 4.69083e-02 9.99998e-01 9.99999e-01 8.89184e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.27543e-01 9.99999e-01
3.015030030e-01 5.20418e-02 9.99997e-01 9.99999e-01 9.83982e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.28891e-01 9.99999e-01
3.018045060e-01 5.56849e-02 9.99998e-01 9.99999e-01 1.05019e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.30236e-01 9.99999e-01
3.021063105e-01 5.90153e-02 9.99998e-01 9.99999e-01 1.11018e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.31580e-01 9.99999e-01
3.024084168e-01 6.47659e-02 9.99998e-01 9.99999e-01 1.21530e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.32922e-01 9.99999e-01
3.027108252e-01 7.29878e-02 9.99998e-01 9.99999e-01 1.36614e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.34262e-01 9.99999e-01
3.030135361e-01 8.24950e-02 9.99999e-01 9.99999e-01 1.54023e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.35600e-01 9.99999e-01
3.033165496e-01 8.96121e-02 9.99999e-01 9.99999e-01 1.66895e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.36936e-01 9.99999e-01
3.036198661e-01 9.48735e-02 9.99999e-01 9.99999e-01 1.76256e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.38270e-01 9.99999e-01
3.039234860e-01 9.77730e-02 9.99999e-01 9.99999e-01 1.81194e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.39602e-01 9.99999e-01
3.042274095e-01 1.02595e-01 9.99999e-01 9.99999e-01 1.89664e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.40932e-01 9.99999e-01
3.045316369e-01 1.11881e-01 9.99999e-01 9.99999e-01 2.06323e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.42260e-01 9.99999e-01
3.048361685e-01 1.23766e-01 9.99999e-01 9.99999e-01 2.27684e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.43586e-01 9.99999e-01
3.051410047e-01 1.36915e-01 9.99999e-01 9.99999e-01 2.51262e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.44909e-01 9.99999e-01
3.054461457e-01 1.47353e-01 9.99999e-01 9.99999e-01 2.69762e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.46231e-01 9.99999e-01
3.057515919e-01 1.50666e-01 9.99999e-01 9.99999e-01 2.75163e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.47551e-01 9.99999e-01
3.060573435e-01 1.55699e-01 9.99999e-01 9.99999e-01 2.83673e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.48868e-01 9.99999e-01
3.063634008e-01 1.58178e-01 9.99999e-01 9.99999e-01 2.87500e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.50183e-01 9.99999e-01
3.066697642e-01 1.69891e-01 9.99999e-01 9.99999e-01 3.08053e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.51497e-01 9.99999e-01
3.069764340e-01 1.82304e-01 9.99999e-01 9.99999e-01 3.29777e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.52808e-01 9.99999e-01
3.072834104e-01 1.99761e-01 9.99999e-01 9.99999e-01 3.60503e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.54117e-01 9.99999e-01
3.075906938e-01 2.12393e-01 9.99999e-01 9.99999e-01 3.82398e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.55423e-01 9.99999e-01
3.078982845e-01 2.16264e-01 9.99999e-01 9.99999e-01 3.88455e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.56728e-01 9.99999e-01
3.082061828e-01 2.17452e-01 9.99999e-01 9.99999e-01 3.89677e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.58031e-01 9.99999e-01
3.085143890e-01 2.29216e-01 9.99999e-01 9.99999e-01 4.09804e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.59331e-01 9.99999e-01
3.088229034e-01 2.31691e-01 9.99999e-01 9.99999e-01 4.13269e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.60629e-01 9.99999e-01
