Title:
Authors:
Table:
================================================================================
Byte-by-byte Description of file: table.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
 1-13  E13.8  m      wavelength [0.0/0.01] Description of wavelength            
15-27  E13.8  ct.s-1 flux       [0.0/1.9138205246501314e+22] Description of flux
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
1.0144000e-06 7.6004161e+03
1.0118000e-06 7.3533138e+03
1.0092000e-06 6.4291783e+03
1.0066000e-06 3.5699669e+20
1.0040000e-06 8.3861076e+20
1.0014000e-06 4.1609761e+20
9.9880000e-07 1.2943989e+05
9.9620000e-07 4.4828132e+03
9.9360000e-07 4.8041228e+03
9.9100000e-07 1.8234778e+21
9.8840000e-07 4.2322098e+21
9.8580000e-07 2.1406349e+21
9.8320000e-07 2.1756285e+09
9.8060000e-07 1.8891697e+21
9.7800000e-07 8.0195822e+21
9.7540000e-07 7.6798446e+21
9.7280000e-07 1.5805331e+21
9.7020000e-07 3.0882293e+18
9.6760000e-07 1.5567578e+03
9.6500000e-07 4.3994820e+03
9.6213333e-07 1.9625838e+21
9.5926667e-07 4.8201509e+21
9.5640000e-07 2.5354453e+21
9.5353333e-07 1.2779421e+11
9.5066667e-07 6.8584413e+02
9.4780000e-07 6.0866572e+02
9.4493333e-07 2.4442159e+15
9.4206667e-07 9.6320270e+21
9.3920000e-07 1.9138205e+22
9.3633333e-07 8.2291977e+21
9.3346667e-07 1.6050875e+17
9.3060000e-07 5.8604048e+20
9.2773333e-07 1.2175769e+22
9.2486667e-07 1.3363656e+22
9.2200000e-07 1.8889412e+21
9.1950000e-07 6.7539731e+21
9.1700000e-07 6.8750669e+21
9.1450000e-07 1.6070818e+20
9.1200000e-07 6.8714420e+01
9.0944444e-07 5.8034277e+01
9.0688889e-07 4.8884434e+01
9.0433333e-07 4.1213523e+01
9.0177778e-07 3.4602409e+01
8.9922222e-07 2.9206192e+01
8.9666667e-07 2.4587730e+01
8.9411111e-07 3.7808572e+20
8.9155556e-07 9.1892254e+21
8.8900000e-07 8.6121172e+21
8.8644444e-07 5.8236786e+19
8.8388889e-07 9.9244049e+09
8.8133333e-07 3.3646597e+21
8.7877778e-07 7.2428743e+21
8.7622222e-07 3.4835524e+21
8.7366667e-07 3.7432546e+08
8.7111111e-07 4.5046234e+00
8.6855556e-07 3.7868139e+00
8.6600000e-07 5.1706464e+20
8.6366667e-07 7.5818697e+21
8.6133333e-07 9.6129315e+21
8.5900000e-07 2.4236598e+21
8.5666667e-07 3.6574560e+17
