Title:
Authors:
Table:
================================================================================
Byte-by-byte Description of file: table.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
  1- 13  E13.8  ---    wavelength  [0.0/0.01] Description of wavelength 
 15- 27  E13.8  ---    za0_pwv0.5  [0.0/0.01] Description of za0_pwv0.5 
 29- 41  E13.8  ---    za0_pwv1.0  [0.0/0.01] Description of za0_pwv1.0 
 43- 55  E13.8  ---    za0_pwv2.0  [0.0/0.01] Description of za0_pwv2.0 
 57- 69  E13.8  ---    za0_pwv3.0  [0.0/0.01] Description of za0_pwv3.0 
 71- 83  E13.8  ---    za30_pwv0.5 [0.0/0.01] Description of za30_pwv0.5
 85- 97  E13.8  ---    za30_pwv1.0 [0.0/0.01] Description of za30_pwv1.0
 99-111  E13.8  ---    za30_pwv2.0 [0.0/0.01] Description of za30_pwv2.0
113-125  E13.8  ---    za30_pwv3.0 [0.0/0.01] Description of za30_pwv3.0
127-139  E13.8  ---    za45_pwv0.5 [0.0/0.01] Description of za45_pwv0.5
141-153  E13.8  ---    za45_pwv1.0 [0.0/0.01] Description of za45_pwv1.0
155-167  E13.8  ---    za45_pwv2.0 [0.0/0.01] Description of za45_pwv2.0
169-181  E13.8  ---    za45_pwv3.0 [0.0/0.01] Description of za45_pwv3.0
183-195  E13.8  ---    za60_pwv0.5 [0.0/0.01] Description of za60_pwv0.5
197-209  E13.8  ---    za60_pwv1.0 [0.0/0.01] Description of za60_pwv1.0
211-223  E13.8  ---    za60_pwv2.0 [0.0/0.01] Description of za60_pwv2.0
225-237  E13.8  ---    za60_pwv3.0 [0.0/0.01] Description of za60_pwv3.0
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
3.0000000e-07 8.9900105e-74 8.9904370e-74 8.9912819e-74 8.9921273e-74 1.0324867e-73 1.0325346e-73 1.0326306e-73 1.0327262e-73 1.2531880e-73 1.2532450e-73 1.2533582e-73 1.2534706e-73 1.7369172e-73 1.7369914e-73 1.7371396e-73 1.7372870e-73
3.0030000e-07 1.0348083e-73 1.0348574e-73 1.0349546e-73 1.0350519e-73 1.1885214e-73 1.1885764e-73 1.1886869e-73 1.1887970e-73 1.4427025e-73 1.4427681e-73 1.4428985e-73 1.4430278e-73 1.9999736e-73 2.0000590e-73 2.0002297e-73 2.0003995e-73
3.0060030e-07 1.1770060e-73 1.1770620e-73 1.1771729e-73 1.1772838e-73 1.3519348e-73 1.3519975e-73 1.3521236e-73 1.3522492e-73 1.6412528e-73 1.6413277e-73 1.6414765e-73 1.6416241e-73 2.2757997e-73 2.2758972e-73 2.2760922e-73 2.2762860e-73
3.0090090e-07 1.3290150e-73 1.3290788e-73 1.3292050e-73 1.3293314e-73 1.5266505e-73 1.5267220e-73 1.5268656e-73 1.5270087e-73 1.8535910e-73 1.8536764e-73 1.8538459e-73 1.8540141e-73 2.5709512e-73 2.5710625e-73 2.5712849e-73 2.5715061e-73
3.0120180e-07 1.4926223e-73 1.4926937e-73 1.4928352e-73 1.4929767e-73 1.7147218e-73 1.7148019e-73 1.7149628e-73 1.7151230e-73 2.0822107e-73 2.0823064e-73 2.0824963e-73 2.0826848e-73 2.8888895e-73 2.8890143e-73 2.8892637e-73 2.8895117e-73
3.0150300e-07 1.6926338e-73 1.6927171e-73 1.6928822e-73 1.6930473e-73 1.9446194e-73 1.9447130e-73 1.9449009e-73 1.9450880e-73 2.3616315e-73 2.3617433e-73 2.3619653e-73 2.3621857e-73 3.2773427e-73 3.2774889e-73 3.2777811e-73 3.2780716e-73
3.0180451e-07 1.9484719e-73 1.9485658e-73 1.9487518e-73 1.9489379e-73 2.2386417e-73 2.2387471e-73 2.2389588e-73 2.2391696e-73 2.7189017e-73 2.7190277e-73 2.7192777e-73 2.7195258e-73 3.7737511e-73 3.7739156e-73 3.7742443e-73 3.7745713e-73
3.0210631e-07 2.2465791e-73 2.2466875e-73 2.2469021e-73 2.2471169e-73 2.5812510e-73 2.5813726e-73 2.5816169e-73 2.5818602e-73 3.1352292e-73 3.1353746e-73 3.1356633e-73 3.1359497e-73 4.3522738e-73 4.3524638e-73 4.3528436e-73 4.3532212e-73
3.0240842e-07 2.5599143e-73 2.5600376e-73 2.5602820e-73 2.5605265e-73 2.9414189e-73 2.9415574e-73 2.9418355e-73 2.9421125e-73 3.5730098e-73 3.5731754e-73 3.5735042e-73 3.5738304e-73 4.9609688e-73 4.9611853e-73 4.9616180e-73 4.9620483e-73
3.0271083e-07 2.8891034e-73 2.8892426e-73 2.8895185e-73 2.8897945e-73 3.3198689e-73 3.3200253e-73 3.3203393e-73 3.3206521e-73 4.0331309e-73 4.0333179e-73 4.0336891e-73 4.0340575e-73 5.6010934e-73 5.6013380e-73 5.6018270e-73 5.6023132e-73
