# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Fri Feb 16 09:05:54 2024
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total H2O CO2 O3 N2O CO CH4 O2 N2 Rayleigh CIA
3.000000000e-01 4.62548e-02 9.99999e-01 9.99999e-01 8.12127e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.69551e-01 9.99999e-01
3.003000000e-01 5.06592e-02 9.99999e-01 9.99999e-01 8.87463e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.70832e-01 9.99999e-01
3.006003000e-01 5.51067e-02 9.99999e-01 9.99999e-01 9.63219e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.72110e-01 9.99999e-01
3.009009003e-01 6.13705e-02 9.99998e-01 9.99999e-01 1.07032e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.73386e-01 9.99999e-01
3.012018012e-01 7.05336e-02 9.99999e-01 9.99999e-01 1.22740e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.74660e-01 9.99999e-01
3.015030030e-01 7.71777e-02 9.99998e-01 9.99999e-01 1.34005e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.75932e-01 9.99999e-01
3.018045060e-01 8.18393e-02 9.99998e-01 9.99999e-01 1.41786e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.77201e-01 9.99999e-01
3.021063105e-01 8.60653e-02 9.99998e-01 9.99999e-01 1.48781e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.78468e-01 9.99999e-01
3.024084168e-01 9.32889e-02 9.99999e-01 9.99999e-01 1.60917e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.79733e-01 9.99999e-01
3.027108252e-01 1.03471e-01 9.99999e-01 9.99999e-01 1.78093e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.80995e-01 9.99999e-01
3.030135361e-01 1.15057e-01 9.99999e-01 9.99999e-01 1.97606e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.82256e-01 9.99999e-01
3.033165496e-01 1.23613e-01 9.99999e-01 9.99999e-01 2.11843e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.83513e-01 9.99999e-01
3.036198661e-01 1.29880e-01 9.99999e-01 9.99999e-01 2.22104e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.84769e-01 9.99999e-01
3.039234860e-01 1.33313e-01 9.99999e-01 9.99999e-01 2.27488e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.86022e-01 9.99999e-01
3.042274095e-01 1.38994e-01 9.99999e-01 9.99999e-01 2.36677e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.87273e-01 9.99999e-01
3.045316369e-01 1.49835e-01 9.99999e-01 9.99999e-01 2.54595e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.88522e-01 9.99999e-01
3.048361685e-01 1.63537e-01 9.99999e-01 9.99999e-01 2.77291e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.89768e-01 9.99999e-01
3.051410047e-01 1.78495e-01 9.99999e-01 9.99999e-01 3.02016e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.91012e-01 9.99999e-01
3.054461457e-01 1.90231e-01 9.99999e-01 9.99999e-01 3.21199e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.92253e-01 9.99999e-01
3.057515919e-01 1.93933e-01 9.99999e-01 9.99999e-01 3.26765e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.93492e-01 9.99999e-01
3.060573435e-01 1.99536e-01 9.99999e-01 9.99999e-01 3.35507e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.94729e-01 9.99999e-01
3.063634008e-01 2.02286e-01 9.99999e-01 9.99999e-01 3.39427e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.95963e-01 9.99999e-01
3.066697642e-01 2.15208e-01 9.99999e-01 9.99999e-01 3.60363e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.97195e-01 9.99999e-01
3.069764340e-01 2.28772e-01 9.99999e-01 9.99999e-01 3.82290e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.98425e-01 9.99999e-01
3.072834104e-01 2.47644e-01 9.99999e-01 9.99999e-01 4.12979e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.99652e-01 9.99999e-01
3.075906938e-01 2.61162e-01 9.99999e-01 9.99999e-01 4.34634e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.00877e-01 9.99999e-01
3.078982845e-01 2.65282e-01 9.99999e-01 9.99999e-01 4.40595e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.02100e-01 9.99999e-01
3.082061828e-01 2.66545e-01 9.99999e-01 9.99999e-01 4.41797e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.03320e-01 9.99999e-01
3.085143890e-01 2.79000e-01 9.99999e-01 9.99999e-01 4.61509e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.04537e-01 9.99999e-01
3.088229034e-01 2.81609e-01 9.99999e-01 9.99999e-01 4.64890e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.05753e-01 9.99999e-01
3.091317263e-01 2.90630e-01 9.99999e-01 9.99999e-01 4.78824e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.06965e-01 9.99999e-01
3.094408580e-01 3.09047e-01 9.99999e-01 9.99999e-01 5.08154e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.08176e-01 9.99999e-01
3.097502988e-01 3.31278e-01 9.99999e-01 9.99999e-01 5.43628e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.09384e-01 9.99999e-01
3.100600491e-01 3.36192e-01 9.99999e-01 9.99999e-01 5.50602e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.10589e-01 9.99999e-01
3.103701092e-01 3.36406e-01 9.99998e-01 9.99999e-01 5.49869e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.11792e-01 9.99999e-01
3.106804793e-01 3.47641e-01 9.99998e-01 9.99999e-01 5.67121e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.12993e-01 9.99999e-01
3.109911598e-01 3.55470e-01 9.99999e-01 9.99999e-01 5.78761e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.14191e-01 9.99999e-01
3.113021509e-01 3.58092e-01 9.99999e-01 9.99999e-01 5.81897e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.15387e-01 9.99999e-01
3.116134531e-01 3.63150e-01 9.99998e-01 9.99999e-01 5.88974e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.16580e-01 9.99999e-01
3.119250665e-01 3.83051e-01 9.99998e-01 9.99999e-01 6.20053e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.17771e-01 9.99999e-01
3.122369916e-01 3.96377e-01 9.99998e-01 9.99999e-01 6.40393e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.18959e-01 9.99999e-01
3.125492286e-01 4.07366e-01 9.99996e-01 9.99999e-01 6.56890e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.20145e-01 9.99999e-01
3.128617778e-01 4.16807e-01 9.99997e-01 9.99999e-01 6.70833e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.21328e-01 9.99999e-01
3.131746396e-01 4.20548e-01 9.99995e-01 9.99999e-01 6.75570e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.22509e-01 9.99999e-01
3.134878143e-01 4.11691e-01 9.99996e-01 9.99999e-01 6.60092e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.23688e-01 9.99999e-01
3.138013021e-01 4.18286e-01 9.99997e-01 9.99999e-01 6.69405e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.24864e-01 9.99999e-01
3.141151034e-01 4.37125e-01 9.99996e-01 9.99999e-01 6.98243e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.26037e-01 9.99999e-01
3.144292185e-01 4.58229e-01 9.99997e-01 9.99999e-01 7.30586e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.27208e-01 9.99999e-01
3.147436477e-01 4.70058e-01 9.99997e-01 9.99999e-01 7.48052e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.28377e-01 9.99999e-01
