# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Fri Feb 16 10:41:08 2024
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total H2O CO2 O3 N2O CO CH4 O2 N2 Rayleigh CIA
3.000000000e-01 2.24878e-03 9.99998e-01 9.99999e-01 6.91184e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 3.25352e-01 9.99999e-01
3.003000000e-01 2.69293e-03 9.99998e-01 9.99999e-01 8.23997e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 3.26813e-01 9.99999e-01
3.006003000e-01 3.18163e-03 9.99998e-01 9.99999e-01 9.69198e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 3.28275e-01 9.99999e-01
3.009009003e-01 3.93819e-03 9.99997e-01 9.99999e-01 1.19434e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 3.29737e-01 9.99999e-01
3.012018012e-01 5.18864e-03 9.99998e-01 9.99999e-01 1.56662e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 3.31200e-01 9.99999e-01
3.015030030e-01 6.20180e-03 9.99995e-01 9.99999e-01 1.86429e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 3.32663e-01 9.99999e-01
3.018045060e-01 6.96623e-03 9.99997e-01 9.99999e-01 2.08490e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 3.34127e-01 9.99999e-01
3.021063105e-01 7.69717e-03 9.99997e-01 9.99999e-01 2.29361e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 3.35592e-01 9.99999e-01
3.024084168e-01 9.03037e-03 9.99997e-01 9.99999e-01 2.67918e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 3.37057e-01 9.99999e-01
3.027108252e-01 1.10880e-02 9.99998e-01 9.99999e-01 3.27542e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 3.38523e-01 9.99999e-01
3.030135361e-01 1.36835e-02 9.99998e-01 9.99999e-01 4.02469e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 3.39989e-01 9.99999e-01
3.033165496e-01 1.57736e-02 9.99998e-01 9.99999e-01 4.61950e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 3.41456e-01 9.99999e-01
3.036198661e-01 1.73980e-02 9.99998e-01 9.99999e-01 5.07343e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 3.42923e-01 9.99999e-01
3.039234860e-01 1.83216e-02 9.99998e-01 9.99999e-01 5.32000e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 3.44390e-01 9.99999e-01
